Make,Generic model 1,Matched_genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
CHEVROLET,CHEVROLET CAPTIVA,16_5,0.0,0.0,1.0,0.0,0.0,0.0,195.0,1146.0,1231.0,1412.0,2207.0,1058.0,1295.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET CORVETTE,16_6,0.0,14.0,12.0,18.0,3.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET CRUZE,16_7,0.0,0.0,0.0,0.0,0.0,1.0,554.0,1522.0,1925.0,1382.0,1032.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET EPICA,16_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,126.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET KALOS,16_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1398.0,1910.0,1252.0,1077.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET LACETTI,16_11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,139.0,349.0,1032.0,1130.0,936.0,782.0,465.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET MATIZ,16_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1176.0,5028.0,3630.0,3719.0,2336.0,1384.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET ORLANDO,16_13,0.0,0.0,0.0,0.0,0.0,0.0,210.0,923.0,2218.0,1566.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET SPARK,16_14,0.0,0.0,0.0,0.0,0.0,8.0,880.0,4208.0,4202.0,4300.0,3871.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET TACUMA,16_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,285.0,447.0,246.0,208.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET TRAX,16_18,0.0,0.0,0.0,1.0,0.0,1.0,549.0,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
